MARCA,O.P. NÚMERO,REFERENCIA,GRUPO DE ENTREGA,MES,ITEM O.P. RESUMEN,DESC. BODEGA,ESTADO,U.M.,CANT. PLANEADA,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE,FECHA TERMINACION,AÑO,COLECCIÓN,FECHA CREACION,FECHA APROBACION,EXT. 1,COLOR_NOMBRE,EXT. 2,DETALLE EXT. 2,DESC. DETALLE EXT. 2,CUMPLIMIENTO %,ESTATUS OP
YOYO,MOP-00000011,YY0001084                                         ,21-2JUN1,06-JUNIO,YY0001084 - IND01 - 019  SHORT TIRO ALTO TP L INDIGO T-12,YOYO CEDI,Cumplido,UND ,442,442,462,0,2026-05-20,01-2026,014-MATCHA CLUB,2026-04-13,2026-04-13,1,IND01               ,1,19,T-12     ,1.0452488687782806,CERRADO
YOYO,MOP-00000011,YY0001084                                         ,21-2JUN1,06-JUNIO,YY0001084 - IND01 - 020  SHORT TIRO ALTO TP L INDIGO T-14,YOYO CEDI,Cumplido,UND ,442,442,469,0,2026-05-20,01-2026,014-MATCHA CLUB,2026-04-13,2026-04-13,1,IND01               ,1,20,T-14     ,1.0610859728506787,CERRADO
YOYO,MOP-00000011,YY0001084                                         ,21-2JUN1,06-JUNIO,YY0001084 - IND01 - 021  SHORT TIRO ALTO TP L INDIGO T-16,YOYO CEDI,Cumplido,UND ,442,442,468,0,2026-05-20,01-2026,014-MATCHA CLUB,2026-04-13,2026-04-13,1,IND01               ,1,21,T-16     ,1.0588235294117647,CERRADO
YOYO,MOP-00000011,YY0001084                                         ,21-2JUN1,06-JUNIO,YY0001084 - IND01 - 022  SHORT TIRO ALTO TP L INDIGO T-18,YOYO CEDI,Aprobado,UND ,354,354,369,0,2026-05-20,01-2026,014-MATCHA CLUB,2026-04-13,2026-04-13,1,IND01               ,1,22,T-18     ,1.0423728813559323,CERRADO
YOYO,MOP-00000011,YY0001084                                         ,21-2JUN1,06-JUNIO,YY0001084 - IND01 - 023  SHORT TIRO ALTO TP L INDIGO T-20,YOYO CEDI,Aprobado,UND ,265,265,184,81,2026-05-20,01-2026,014-MATCHA CLUB,2026-04-13,2026-04-13,1,IND01               ,1,23,T-20     ,0.6943396226415094,INCOMPLETO
YOYO,MOP-00000011,YY0001084                                         ,21-2JUN1,06-JUNIO,YY0001084 - IND01 - 024  SHORT TIRO ALTO TP L INDIGO T-22,YOYO CEDI,Cumplido,UND ,177,177,185,0,2026-05-20,01-2026,014-MATCHA CLUB,2026-04-13,2026-04-13,1,IND01               ,1,24,T-22     ,1.0451977401129944,CERRADO
YOYO,MOP-00000025,YY0000231                                         ,25-3JUL1,07-JULIO,YY0000231 - 11-0602 - 019  CHAQUETA CUELLO SPOR CREMA T-12,YOYO CEDI,Cumplido,UND ,221,236,236,0,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,11-0602             ,1,19,T-12     ,1.0,CERRADO
YOYO,MOP-00000025,YY0000231                                         ,25-3JUL1,07-JULIO,YY0000231 - 11-0602 - 020  CHAQUETA CUELLO SPOR CREMA T-14,YOYO CEDI,Cumplido,UND ,295,287,287,0,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,11-0602             ,1,20,T-14     ,1.0,CERRADO
YOYO,MOP-00000025,YY0000231                                         ,25-3JUL1,07-JULIO,YY0000231 - 11-0602 - 021  CHAQUETA CUELLO SPOR CREMA T-16,YOYO CEDI,Cumplido,UND ,295,288,288,0,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,11-0602             ,1,21,T-16     ,1.0,CERRADO
YOYO,MOP-00000025,YY0000231                                         ,25-3JUL1,07-JULIO,YY0000231 - 11-0602 - 022  CHAQUETA CUELLO SPOR CREMA T-18,YOYO CEDI,Cumplido,UND ,221,243,243,0,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,11-0602             ,1,22,T-18     ,1.0,CERRADO
YOYO,MOP-00000025,YY0000231                                         ,25-3JUL1,07-JULIO,YY0000231 - 11-0602 - 023  CHAQUETA CUELLO SPOR CREMA T-20,YOYO CEDI,Cumplido,UND ,221,236,236,0,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,11-0602             ,1,23,T-20     ,1.0,CERRADO
YOYO,MOP-00000025,YY0000231                                         ,25-3JUL1,07-JULIO,YY0000231 - 11-0602 - 024  CHAQUETA CUELLO SPOR CREMA T-22,YOYO CEDI,Cumplido,UND ,147,143,143,0,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,11-0602             ,1,24,T-22     ,1.0,CERRADO
YOYO,MOP-00000024,YY0000228                                         ,25-3JUL1,07-JULIO,YY0000228 - IND03 - 019  FALDA SHORT INDIGO T-12,YOYO CEDI,Aprobado,UND ,396,385,383,2,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,IND03               ,1,19,T-12     ,0.9948051948051948,INCOMPLETO
YOYO,MOP-00000024,YY0000228                                         ,25-3JUL1,07-JULIO,YY0000228 - IND03 - 020  FALDA SHORT INDIGO T-14,YOYO CEDI,Aprobado,UND ,396,378,376,2,2026-06-17,01-2026,001-BASIC URBAN,2026-04-20,2026-04-21,1,IND03               ,1,20,T-14     ,0.9947089947089947,INCOMPLETO
